id,sex,age,federal_district,type_of_city,knows_election_date,will_vote,candidate,television_usage,internet_usage,education,income,employment,job_type,company_type,weight1
07167bf47ecce813,male,19.0,volga,city with population of 100-500k,not sure or no answer,definitely no,will not take part,does not watch,over 4 hours a day,incomplete school education,medium,employed student,commercial organization,refused to answer,1.0519544398517129
07166d2dcfcce897,male,22.0,siberian,city with population of 100-500k,not sure or no answer,definitely yes,Putin,does not watch,over 4 hours a day,college,medium,employed student,commercial organization,trade,1.0773270820275742
07166e6a4d8ceccb,male,18.0,ural,city with population of 500-950k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,college,medium,employed student,commercial organization,"industry, manufacturing",0.8887449781717014
071673724e8cedee,male,20.0,ural,city with population of 500-950k,named correct date,definitely yes,will not take part,does not watch,over 4 hours a day,college,medium,unemployed,,,0.8887449781717014
071661e4e38ce9c7,male,22.0,siberian,city with population of 500-950k,named correct date,likely yes,Davankov,several times a month,over 4 hours a day,bachelor degree,medium,employed student,government agency,education,1.1148515501223408
0716c28da40ce162,male,24.0,central,city with population of 1 million and higher,named correct date,definitely no,will not take part,does not watch,over 4 hours a day,school,medium,work for hire,commercial organization,finances,1.2499508746339754
07166cb8bbcceff3,male,22.0,siberian,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,bachelor degree,medium,employed student,commercial organization,"tech, programming, communications",1.6887611160454126
071670b4690ceb07,male,30.0,northwestern,village,named correct date,definitely yes,Davankov,does not watch,less than 4 hours a day,academic degree,medium,entrepreneur,,"industry, manufacturing",2.1743851170051838
07169264200ce9e9,male,31.0,north caucasian,village,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,housing and communal services,1.215363366459071
071696dfafcce385,male,30.0,north caucasian,village,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,school,medium,work for hire,commercial organization,trade,1.215363366459071
07168ad7bb4ce851,male,25.0,central,city with population of less than 50k,named correct year,definitely yes,Putin,several times a week,over 4 hours a day,college,medium,unemployed,,,1.048116675901872
0716b75ce20ce7c5,male,28.0,central,city with population of less than 50k,named correct date,likely yes,Kharitonov,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",1.048116675901872
07168cb8878ce957,male,30.0,northwestern,city with population of less than 50k,named correct date,likely no,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,"transportation, storage",0.8907935136631745
0716aa62438cede7,male,29.0,southern,city with population of less than 50k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,college,medium,work for hire,law enforcement agency,law enforcement agency,1.018211378423885
0716aaf37a4ce6de,male,33.0,southern,city with population of 50-100k,named correct date,not sure,Slutskiy,several times a week,less than 4 hours a day,incomplete school education,medium,work for hire,commercial organization,other,1.018211378423885
0716901e038cec3e,male,28.0,southern,city with population of 50-100k,not sure or no answer,not sure,Putin,does not watch,over 4 hours a day,academic degree,medium,self-employed,,"construction, architecture",1.4938028000024597
07169a6109ccee23,male,33.0,volga,settlement,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,government agency,"industry, manufacturing",1.0946978639657516
071670c49f4cee80,male,30.0,ural,settlement,not sure or no answer,definitely yes,Slutskiy,does not watch,less than 4 hours a day,college,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.0223836891624238
071673cffa8ce097,male,26.0,ural,city with population of 50-100k,named correct date,not sure,struggle to answer,does not watch,over 4 hours a day,incomplete school education,medium,work for hire,commercial organization,trade,1.0223836891624238
0716625756ccec96,male,32.0,siberian,city with population of 50-100k,named correct date,likely yes,Davankov,does not watch,less than 4 hours a day,academic degree,medium,work for hire,commercial organization,refused to answer,1.2824894302382428
07165e4d54cce27a,male,25.0,far eastern,city with population of 50-100k,named correct date,not sure,Putin,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",1.0284135392593337
07166233eb4ce768,male,34.0,far eastern,city with population of less than 50k,not sure or no answer,likely no,will not take part,once half a year,over 4 hours a day,college,medium,unemployed,,,1.0284135392593337
071660da29cced09,male,34.0,far eastern,settlement,named correct date,likely yes,Putin,less than 4 hours a day,does not use internet,incomplete school education,medium,unemployed pensioner,,,1.0284135392593337
0716b351edcceeca,male,25.0,central,city with population of 100-500k,not sure or no answer,likely no,Slutskiy,once half a year,over 4 hours a day,college,medium,work for hire,commercial organization,"transportation, storage",0.8470300217137597
0716a9044d4ce18f,male,34.0,southern,city with population of 100-500k,named correct date,definitely no,will not take part,less than 4 hours a day,over 4 hours a day,school,medium,self-employed,,"construction, architecture",0.8228622116268349
0716ba68810ced5e,male,25.0,north caucasian,city with population of 100-500k,named correct date,likely yes,Putin,several times a month,less than 4 hours a day,bachelor degree,medium,self-employed,,"tech, programming, communications",1.3664125716959816
07167952f2ccecd3,male,32.0,volga,city with population of 100-500k,named correct date,definitely yes,spoilt vote,does not watch,less than 4 hours a day,college,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.8846743657494568
07169960a40ce2a1,male,28.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,several times a week,academic degree,medium,work for hire,government agency,refused to answer,1.0820310921117826
0716a767844cebd9,male,31.0,southern,city with population of 500-950k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,school,medium,work for hire,commercial organization,"construction, architecture",0.7443680190892352
0716806bd6cce7f0,male,30.0,volga,city with population of 500-950k,named correct date,struggle to answer,Kharitonov,does not watch,several times a week,bachelor degree,medium,self-employed,,trade,0.9788143497753292
07165e66aacce681,male,33.0,siberian,city with population of 500-950k,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,government agency,"culture, sports",0.9375696804400674
071667b97a8ce39e,male,32.0,siberian,city with population of 500-950k,named correct date,likely yes,Davankov,does not watch,over 4 hours a day,academic degree,medium,work for hire,commercial organization,"tech, programming, communications",0.9375696804400674
0716af4eda8cef74,male,31.0,central,city with population of 1 million and higher,named correct date,definitely yes,will not take part,once half a year,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,education,1.7085406775967875
0716c621750ce0df,male,30.0,central,city with population of 1 million and higher,named correct date,likely yes,struggle to answer,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"tech, programming, communications",1.7085406775967875
07169932dccce157,male,34.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,over 4 hours a day,bachelor degree,medium,entrepreneur,,"tech, programming, communications",1.7085406775967875
07166e5b984ce8df,male,27.0,northwestern,city with population of 1 million and higher,not sure or no answer,likely yes,Putin,several times a month,over 4 hours a day,bachelor degree,medium,self-employed,,social services,2.103130103845761
071686451d0ced78,male,29.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Davankov,several times a week,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,finances,2.103130103845761
07169337fa0cef8d,male,31.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,government agency,education,2.103130103845761
07168f77f04ce418,male,25.0,northwestern,city with population of 1 million and higher,named correct date,definitely no,will not take part,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"tech, programming, communications",2.103130103845761
07168be4b60ced6d,male,30.0,southern,city with population of 1 million and higher,not sure or no answer,definitely no,will not take part,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,"catering, restaurants",1.1275579843143275
07168c14374cecc1,male,27.0,volga,city with population of 1 million and higher,named correct date,likely yes,struggle to answer,over 4 hours a day,less than 4 hours a day,school,medium,work for hire,commercial organization,"industry, manufacturing",1.2122584200906117
07168fc0e4cce646,male,26.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,medium,entrepreneur,,trade,1.4826939187970414
07167596610ceef0,male,26.0,ural,city with population of 1 million and higher,named correct year,likely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",1.938055468486083
071692ac7d4ceaac,male,36.0,central,village,named correct date,likely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",1.148908297760976
0716b9afc20ce2cf,male,38.0,north caucasian,village,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,school,medium,unemployed,,,0.790489048734851
07167a554b0ce663,male,42.0,volga,village,named correct date,likely yes,struggle to answer,several times a week,over 4 hours a day,school,medium,unemployed pensioner,,,0.8151832591026007
0716c3ac50cce8f7,male,38.0,central,city with population of less than 50k,named correct date,definitely yes,Davankov,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.6817095010117753
07168f3682cce35b,male,42.0,northwestern,settlement,not sure or no answer,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,incomplete school education,medium,work for hire,commercial organization,"construction, architecture",0.5793843525877674
0716a3e6b7ccea67,male,42.0,northwestern,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,unemployed,,,0.5793843525877674
071692646d4cea6b,male,37.0,volga,city with population of 50-100k,named correct date,likely yes,Putin,several times a month,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",0.8708438390298522
071675858f4ceb0c,male,35.0,ural,city with population of less than 50k,named correct date,definitely yes,struggle to answer,several times a month,over 4 hours a day,bachelor degree,medium,entrepreneur,,hard to say,1.1382953980134634
07165df93b0ce5f1,male,38.0,far eastern,city with population of less than 50k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,incomplete school education,medium,unemployed,,,0.6688943099574075
07165ee01fcce98a,male,36.0,far eastern,city with population of less than 50k,named correct date,not sure,Putin,once half a year,several times a week,college,medium,work for hire,commercial organization,trade,0.6688943099574075
07166ded72cce376,male,35.0,far eastern,city with population of 50-100k,named correct date,not sure,struggle to answer,does not watch,less than 4 hours a day,college,medium,work for hire,non-profit agency,,0.6688943099574075
0716c3a531cce695,male,44.0,central,city with population of 100-500k,named correct date,likely yes,Putin,less than 4 hours a day,less than 4 hours a day,school,medium,work for hire,commercial organization,"industry, manufacturing",0.498950436934314
0716d387c18cef4d,male,35.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,non-profit agency,,0.8109671698903214
0716acbf820cee78,male,39.0,central,city with population of 100-500k,not sure or no answer,likely yes,Putin,over 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,"construction, architecture",0.550919975533851
0716af50a4cce118,male,36.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,work for hire,government agency,housing and communal services,0.550919975533851
0716a2c2534ce8ed,male,44.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,academic degree,medium,work for hire,commercial organization,housing and communal services,0.7117657139147245
07168ac8510ce421,male,38.0,southern,city with population of 100-500k,not sure or no answer,not sure,struggle to answer,does not watch,several times a week,school,medium,work for hire,government agency,education,0.535200899467507
07168721348ce95f,male,36.0,southern,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,employed pensioner,government agency,education,0.7851852956366874
07168ae7fb4cec0d,male,40.0,southern,city with population of 100-500k,named correct date,definitely yes,struggle to answer,several times a week,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"transportation, storage",0.7851852956366874
0716a507368ce37c,male,35.0,north caucasian,city with population of 100-500k,named correct date,struggle to answer,Putin,once half a year,less than 4 hours a day,bachelor degree,medium,hard to say,,,0.8887335292376308
07167e6983ccef94,male,35.0,ural,city with population of 100-500k,named correct date,definitely no,will not take part,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,law enforcement agency,0.5373939848203543
0716769d808ce550,male,39.0,ural,city with population of 100-500k,named correct date,definitely yes,Davankov,several times a week,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,trade,0.9199074853630947
07168f3957cce462,male,42.0,southern,city with population of 500-950k,named correct date,not sure,Putin,over 4 hours a day,over 4 hours a day,college,medium,work for hire,hard to say,other,0.484147197091209
07167bd65a0ce094,male,42.0,volga,city with population of 500-950k,named correct date,definitely yes,Davankov,once half a year,over 4 hours a day,bachelor degree,medium,entrepreneur,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.6366343149672172
07168fbd9d4ce53f,male,36.0,southern,city with population of 1 million and higher,named correct date,not sure,Putin,several times a week,over 4 hours a day,school,medium,work for hire,commercial organization,"construction, architecture",0.7333792205789968
0716afc0a28cea87,male,41.0,southern,city with population of 1 million and higher,named correct date,not sure,Putin,several times a week,over 4 hours a day,college,medium,work for hire,commercial organization,trade,0.7333792205789968
0716821133ccebec,male,36.0,volga,city with population of 1 million and higher,named correct date,not sure,Putin,does not watch,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,trade,0.9643645166379896
07169dcf088ced87,male,39.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Slutskiy,several times a week,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,media,0.9643645166379896
071673e96c0ce6c1,male,35.0,ural,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,other,0.7363843785081672
071673f69e0ce989,male,37.0,siberian,city with population of 1 million and higher,named correct date,likely yes,Putin,once half a year,over 4 hours a day,college,medium,self-employed,,"catering, restaurants",0.8074870604838682
071688e317ccec72,male,53.0,central,village,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,employed pensioner,commercial organization,"industry, manufacturing",0.9013788044655104
0716a8a37c4ce927,male,51.0,central,city with population of less than 50k,named correct date,definitely yes,struggle to answer,several times a week,less than 4 hours a day,college,medium,entrepreneur,,"transportation, storage",0.7872924307180065
0716cf9eb44ce87a,male,50.0,central,city with population of 100-500k,named correct date,not sure,Putin,less than 4 hours a day,several times a month,incomplete school education,medium,hard to say,,,0.6362462691592415
0716bfb1d4cce9b1,male,48.0,central,city with population of 100-500k,named correct date,definitely yes,struggle to answer,does not watch,less than 4 hours a day,bachelor degree,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.8220037393904259
0716610b734ce5cc,male,45.0,far eastern,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,medium,employed student,commercial organization,"construction, architecture",0.6242857236705798
07168e69364ce832,male,45.0,southern,city with population of 1 million and higher,named correct date,likely yes,will not take part,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,"construction, architecture",0.8469647384271121
07169a6c92cce2ab,male,58.0,southern,city with population of 1 million and higher,named correct date,likely yes,struggle to answer,over 4 hours a day,does not use internet,college,medium,unemployed,,,0.8469647384271121
0716699c5fcce972,male,58.0,siberian,city with population of 1 million and higher,named correct date,not sure,struggle to answer,less than 4 hours a day,less than 4 hours a day,school,medium,unemployed,,,0.9325503747243528
07169c00674ce53f,male,61.0,north caucasian,village,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,self-employed,,"catering, restaurants",1.0010267402505113
07168d2525cce7ad,male,70.0,volga,village,named correct date,likely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,unemployed pensioner,,,1.2625871659114805
0716be9f18cce29a,male,62.0,northwestern,city with population of 100-500k,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,school,medium,unemployed pensioner,,,0.592933182987529
07167b48ca8cee4b,male,63.0,ural,city with population of 100-500k,named correct year,not sure,Putin,over 4 hours a day,less than 4 hours a day,college,medium,unemployed pensioner,,,0.6805227089684727
07166d696a0ce711,male,71.0,siberian,city with population of 100-500k,named correct date,definitely yes,Kharitonov,over 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed pensioner,,,0.8536552280134322
0716496d4c4ce7d0,male,74.0,far eastern,city with population of 500-950k,named correct date,definitely yes,struggle to answer,once half a year,less than 4 hours a day,college,medium,unemployed pensioner,,,0.619237263452997
0716bef031cce957,male,68.0,central,city with population of 1 million and higher,named correct date,likely no,will not take part,less than 4 hours a day,does not use internet,school,medium,unemployed pensioner,,,0.8658028167721621
07169451de4cef58,male,64.0,central,city with population of 1 million and higher,named correct date,definitely yes,struggle to answer,does not watch,less than 4 hours a day,bachelor degree,medium,employed pensioner,government agency,"culture, sports",1.407229271738716
07169113160ceaab,male,66.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.9984693698149302
07166d817bcced6f,female,21.0,siberian,village,not sure or no answer,definitely yes,struggle to answer,once half a year,over 4 hours a day,college,medium,self-employed,,other,1.396734921130502
0716c1ff208ce8df,female,23.0,central,city with population of 50-100k,named correct date,definitely no,will not take part,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,education,1.678889810429285
0716c88b8b0ce2b0,female,22.0,central,city with population of 50-100k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,government agency,social services,1.678889810429285
071680c5718cee51,female,18.0,volga,city with population of 50-100k,not sure or no answer,not sure,Putin,does not watch,over 4 hours a day,incomplete school education,medium,employed student,commercial organization,"catering, restaurants",1.1912202827737102
0716940a86cceb8c,female,20.0,volga,city with population of less than 50k,not sure or no answer,definitely no,will not take part,does not watch,over 4 hours a day,incomplete school education,medium,work for hire,commercial organization,trade,1.1912202827737102
071678b78c4cef45,female,24.0,volga,city with population of 50-100k,not sure or no answer,not sure,will not take part,several times a week,over 4 hours a day,bachelor degree,medium,employed student,government agency,education,1.4569625089378664
0716aecdc64ce2c7,female,23.0,central,city with population of 100-500k,not sure or no answer,likely yes,Putin,less than 4 hours a day,over 4 hours a day,school,medium,employed student,government agency,healthcare,0.921714908923266
0716b6d8ce4ce936,female,22.0,central,city with population of 100-500k,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,school,medium,employed student,commercial organization,"entertainment, tourism",0.921714908923266
0716b14e528ce5bb,female,22.0,central,city with population of 100-500k,named correct date,likely yes,struggle to answer,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",1.190817358800422
0716838671cce9fd,female,18.0,northwestern,city with population of 100-500k,named correct year,definitely no,Putin,several times a week,over 4 hours a day,college,medium,employed student,commercial organization,"industry, manufacturing",0.7833647543189737
07169ee4fc4ce544,female,20.0,northwestern,city with population of 100-500k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed student,,,0.876911381680357
0716916ad78cee63,female,22.0,southern,city with population of 100-500k,named correct date,definitely yes,Putin,several times a month,over 4 hours a day,college,medium,unemployed student,,,0.8954161588174846
0716a3066b4ce46e,female,21.0,southern,city with population of 100-500k,not sure or no answer,not sure,Putin,once half a year,less than 4 hours a day,college,medium,work for hire,government agency,healthcare,0.8954161588174846
071695cf6bcce1a2,female,24.0,north caucasian,city with population of 100-500k,named correct date,likely yes,Putin,once half a year,over 4 hours a day,bachelor degree,medium,employed student,commercial organization,finances,1.4868927981138031
071681b7214ce8ae,female,23.0,volga,city with population of 100-500k,named correct date,likely yes,struggle to answer,several times a month,over 4 hours a day,bachelor degree,medium,self-employed,,education,1.1774366479952034
071680af6bcce8bb,female,24.0,volga,city with population of 500-950k,named correct date,definitely yes,Slutskiy,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,trade,0.8708469586734929
071684fd97cce6d7,female,24.0,volga,city with population of 500-950k,named correct date,likely no,Putin,several times a month,over 4 hours a day,college,medium,work for hire,government agency,refused to answer,0.8708469586734929
07166639c14ce74d,female,19.0,siberian,city with population of 500-950k,named correct date,not sure,struggle to answer,several times a week,less than 4 hours a day,school,medium,employed student,government agency,refused to answer,0.8918513742976857
071666fe30cce48e,female,19.0,siberian,city with population of 500-950k,named correct date,likely yes,Davankov,once half a year,over 4 hours a day,school,medium,work for hire,commercial organization,"construction, architecture",0.8918513742976857
07166978418ce1ab,female,20.0,siberian,city with population of 500-950k,not sure or no answer,not sure,struggle to answer,does not watch,over 4 hours a day,college,medium,unemployed,,,0.8918513742976857
071664fd7c8ce34b,female,23.0,far eastern,city with population of 500-950k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,academic degree,medium,employed student,government agency,education,1.2535793795055974
0716a25ba58ce1b5,female,24.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed,,,1.8591872479993317
0716a5ba63cce8b5,female,22.0,central,city with population of 1 million and higher,named correct date,definitely yes,Slutskiy,does not watch,over 4 hours a day,bachelor degree,medium,employed student,commercial organization,trade,1.8591872479993317
0716b33b944ce839,female,24.0,central,city with population of 1 million and higher,named correct date,likely yes,Putin,once half a year,over 4 hours a day,bachelor degree,medium,employed student,commercial organization,finances,1.8591872479993317
0716be7fdccce990,female,21.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,over 4 hours a day,incomplete school education,medium,unemployed,,,1.4080500189797458
0716aa90d00ce0d7,female,20.0,southern,city with population of 1 million and higher,named correct date,likely no,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,trade,1.2269777672286477
071648cdfe0ce6f0,female,21.0,volga,city with population of 1 million and higher,named correct date,likely yes,Davankov,does not watch,less than 4 hours a day,bachelor degree,medium,employed student,commercial organization,other,1.613426980498364
071679894f0ce841,female,22.0,ural,city with population of 1 million and higher,named correct date,definitely yes,Davankov,once half a year,over 4 hours a day,bachelor degree,medium,self-employed,,education,2.108938967723568
0716987c5a8ce25f,female,30.0,southern,village,not sure or no answer,likely yes,Putin,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,trade,1.3940986056523457
0716ad81554ceeae,female,26.0,central,city with population of 50-100k,wrong answer,definitely yes,Davankov,several times a week,over 4 hours a day,college,medium,work for hire,commercial organization,trade,1.1351749524207986
071693a3630cebf6,female,34.0,central,city with population of less than 50k,named correct date,not sure,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,trade,1.8450522343490197
0716ae43af4ce436,female,28.0,central,city with population of 100-500k,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,finances,1.3086744674413875
07166febb5ccefd9,female,28.0,ural,city with population of 100-500k,not sure or no answer,likely yes,Putin,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,trade,0.988069210334624
0716ad4659cce971,female,32.0,north caucasian,city with population of 500-950k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,trade,1.478177943346152
07166a2a08cce53c,female,33.0,siberian,city with population of 500-950k,named correct date,definitely yes,struggle to answer,several times a month,less than 4 hours a day,bachelor degree,medium,work for hire,government agency,education,1.1212122544284724
07169182b70ce540,female,33.0,central,city with population of 1 million and higher,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,academic degree,medium,work for hire,commercial organization,"tech, programming, communications",2.043193999204306
07169e8364cce2ba,female,27.0,central,city with population of 1 million and higher,named correct date,definitely yes,spoilt vote,does not watch,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",2.043193999204306
0716a8ed39cce67d,female,33.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,academic degree,medium,entrepreneur,,"culture, sports",2.043193999204306
0716ca2e844ce70e,female,29.0,central,city with population of 1 million and higher,named correct date,definitely yes,Slutskiy,does not watch,over 4 hours a day,bachelor degree,medium,employed student,commercial organization,healthcare,2.043193999204306
0716b39a858ce992,female,26.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,struggle to answer,does not watch,over 4 hours a day,college,medium,self-employed,,"catering, restaurants",1.5474069932734178
0716b38c330ce39a,female,34.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Kharitonov,does not watch,over 4 hours a day,bachelor degree,medium,entrepreneur,,"transportation, storage",2.5150719933503947
07167ea7e9ccee25,female,25.0,volga,city with population of 1 million and higher,named correct date,likely yes,Davankov,does not watch,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"culture, sports",1.77311044288626
0716cf066a0ce209,female,40.0,central,village,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,farming,1.1170712795161162
071680085cccef3f,female,44.0,volga,village,not sure or no answer,not sure,Putin,several times a month,over 4 hours a day,college,medium,self-employed,,farming,1.1667169998335851
07167c85a54cedae,female,40.0,volga,village,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,bachelor degree,medium,unemployed,,,1.4269929347911503
071665d4da8ce836,female,44.0,siberian,village,named correct date,not sure,Putin,does not watch,over 4 hours a day,college,medium,work for hire,hard to say,healthcare,1.1948576605274508
07169c27b04ce25e,female,41.0,volga,city with population of 50-100k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,trade,1.2463802462221458
0716b16241cced7f,female,38.0,central,city with population of 100-500k,named correct date,likely yes,Putin,less than 4 hours a day,less than 4 hours a day,academic degree,medium,work for hire,commercial organization,"industry, manufacturing",1.0187024194255168
0716aad9208cec8e,female,43.0,north caucasian,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,incomplete school education,medium,unemployed pensioner,,,0.7985903140415683
07167af3e7cce9d2,female,37.0,volga,city with population of 100-500k,not sure or no answer,definitely yes,Putin,several times a month,over 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.8235376010965271
071665ae150ce259,female,35.0,siberian,city with population of 100-500k,named correct date,definitely yes,struggle to answer,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.8434009374535041
0716adbcb34ce3e0,female,39.0,southern,city with population of 500-950k,named correct date,likely yes,Putin,several times a week,less than 4 hours a day,academic degree,medium,work for hire,commercial organization,trade,1.01658341167943
0716706672cceacb,female,35.0,volga,city with population of 500-950k,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,medium,work for hire,commercial organization,"catering, restaurants",0.7449789820360871
0716b12a3d8ce88d,female,43.0,central,city with population of 1 million and higher,named correct date,not sure,struggle to answer,several times a month,over 4 hours a day,bachelor degree,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.5904693811399246
0716cae2ad0ce4bd,female,36.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,entrepreneur,,trade,1.3959154162549767
07168970554ce626,female,37.0,southern,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"construction, architecture",1.5399059513103914
071681641f4ce72b,female,36.0,volga,city with population of 1 million and higher,not sure or no answer,likely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,self-employed,,"transportation, storage",1.12848346221125
071683cfb5cced7e,female,35.0,volga,city with population of 1 million and higher,named correct date,definitely yes,spoilt vote,once half a year,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,other,1.380230105358712
0716a834a74ceab2,female,50.0,north caucasian,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,unemployed,,,1.7343873760540676
